Text,Label
How do I activate my new card that I just received?,0
What information do I need to gather to activate my card?,0
I just received my card and I'd like to activate it.,0
Tell me what I need to do to activate my card.,0
How do I activate my new card,0
What is the most efficient way to activate my new card?,0
Please help me with the activation of the new card.,0
I need assistance to activate the card on my account.,0
I can't activate my card?,0
How do I activate my card so I can start using it?,0
Is there an age limit to open an account,1
At what age can I open an account?,1
"I would like to open an account for my children, can I do that? ",1
I would like to get an account for my child.,1
What is the appropriate age for my child to be able to open an account?,1
DO I have to be 18 to open an account?,1
Do you offer account services for children and teens?,1
Can my children get an account?,1
Hold old do my kids have to be to use the service?,1
I want to open an account for my child.,1
Can I pay for my gas using my Apple Watch?,2
Google Pay top up didn't work,2
how to make top up work for my card,2
I would like to know if I can top up with Google Pay.,2
Google Pay won't let me top up.,2
What should I do if my Google Pay top up doesn't work?,2
Is there a way to top up using my Apple Watch?,2
"I received my American Express card in Apple Pay, why is the top up not working on my device? ",2
Top up is not working even though I have my AMEX in apple pay.,2
Am I able to top up with Apple Pay?,2
Where can I withdraw cash?,3
What locations can I get money from?,3
Will this card work at any ATM?,3
Is this card accepted by ATMs?,3
Where can I find a Mastercard ATM?,3
Can I use a different bank ATM than my own?,3
what are the locations i can withdraw money,3
Do all ATMs accept this card?,3
Where can I get money from my card?,3
What ATMs accept my card?,3
And an auto-reload?,4
Where can I find the auto-reload option?,4
"If I don't have much money on the account, can I automatically reload? ",4
What is the limit on auto-reload?,4
I want to set up an auto-reload,4
Can I set it up to add money automatically every few days while I'm traveling?,4
Does auto top-up have a limit?,4
How do I get refills to my card when I'm traveling?,4
I want to use auto top-up. Is there a limit?,4
Will the system automatically top up itself?,4
"How long does it take for a bank transfer to show up in my account? It's been a few hours, but I haven't seen anything yet. Also, it's from a UK account if that makes a difference.",5
Is there a longer processing time for international bank transfers?,5
Good afternoon. I made a transfer from my UK bank account.  I haven't seen anything on the account in the pass few hours. Please check the account to make sure everything is fine.,5
I had transferred some money but the balance hasn't changed.,5
Why is it taking so long to update my balance transfer?,5
When will my transfer process?,5
I transferred money but the balance hasn't changed.,5
"I recently transferred some cash, but the balance has not changed.",5
I transferred some funds but I don't see it,5
The money that I have transferred hasn't arrived yet.,5
How long does it take for a check to show up in the account balance?,6
Why is my cash deposit not showing up in my account? I deposited it this morning.,6
"I deposited money, but the balance hasn't changed. ",6
When will my deposit be posted to my account?,6
Why hasn't my balance been updated from the check deposit I made?,6
"I have a cash deposit on my account, but it's having an issue ",6
The check I sent you to be deposited a few days ago hasn't been deposited into my account yet. What's the problem?,6
Why has my account balance not changed after depositing a cheque?,6
I made a cash deposit to my account but it is not there,6
The cash deposit I made this morning has not been credited to my account,6
"I need to transfer money to my mother, and I have tried multiple times and all that keeps happening is error messages. ",7
I was trying to buy cryptocurrencies and the app won't let me. What is the issue? I really wanted to finish the exchange.,7
Am I allowed to transfer money to a beneficiary?,7
"I was trying to make a transfer and got an error message telling me it was not possible to make the transfer. This has never happened before, what happened?",7
"Hi,  Is there any problem with app? As i am facing some issues with the exchange of crypto currency. I am extremely interested in buying.",7
Why am I not allowed to add a certain beneficiary?,7
"Hi, I am interested buying crypto currency but unable to purchase it through the application. I do want to do the exchange, Could you please let me know what is the problem?",7
I could not transfer funds to a beneficiary; is there a problem with your software?,7
Why can't you allow my beneficiary?,7
I've been trying to make a transfer and it hasn't gone through. Now I am receiving an error message.  What is the problem?,7
"If I make a mistake, can I cancel the transaction? ",8
Cancellation of a transaction.,8
I made a terrible mistake typing my account number. I accidentally sent money to the wrong account. I noticed the app doesn't allow me to cancel the transaction. Can someone help me immediately?,8
Please help me! The app doesn't let me cancel a bank transfer. I accidentally sent money to an account that wasn't mine. I need this canceled immediately.,8
Is there a way to cancel my transfer?,8
"I stupidly initiated a rent payment from the wrong account yesterday. It can't be paid from that account, but it really needs to get paid on time. Am I able to move the payment to the right account?",8
Please help!  The app won't let me cancel a money transfer.  I accidently sent money to an account that wasn't mine.  I need this cancelled immediately.,8
Is it possible for a transaction to be cancelled?,8
A transfer has been made in my account that I need to cancel.  This was a mistake on my part and I hope we can get this resolved quickly.,8
Am I able to cancel a transfer I just made,8
How to get a new expiration date?,9
Please inform me how to get a new card as mine is about to expire.,9
"My card will expire next month, will I need to order a new one?",9
how to get a new card in china,9
How can I get a card sent to China?,9
My card is about to expire.  How do I get a new card?,9
"My card expires soon, will you send me one automatically?",9
"My card's expiring a month from now, should I place an order for the new card?",9
How can I replace an expired card?,9
Are new cards available from China?,9
Is my card valid everywhere?,10
What businesses does this card work with?,10
Are there any places where I can't use my card?,10
Are there any limitations to the businesses that will accept this card?,10
What locations is my card accepted at?,10
Who accepts the card?,10
What type of businesses will accept my card?,10
Do you know what businesses will accept my card?,10
Who accepts the card?,10
Is there anywhere I can't use my card?,10
why haven't I received my new card?,11
"A card has been sent to me, how do I track it?",11
why have i not got my new card?,11
Do you have info about the card on delivery?,11
"I was supposed to receive my new card by now, but it hasn't came in.",11
I haven't received my card and am worried it is lost.,11
My card hasn't arrived.,11
Has my card been lost in delivery?,11
What do I do if I still have not received my new card?,11
What can I do if my card still hasn't arrived after 2 weeks?,11
How many days to deliver to a US customer?,12
Is there a specific date I can have it delivered?,12
Can I have my card delivered on Tuesday?,12
Can I choose delivery times that suit me?,12
When can I expect delivery?,12
how long should I expect to wait for my card to arrive?,12
How will I get my card?,12
I need my card soon.,12
how much to get my card in 2 days?,12
How long does it take for my physical card to be delivered.,12
Help me understand how to link the new card.,13
"If I have a physical card, can I link it? ",13
"If I have a credit card with you, how can I set it up to link it? ",13
"lost card found, I want to put it back in the app ",13
Can you please reactivate my card?,13
help me link my card,13
If I find a card I lost do I need to dispose of it? Or can I re-active the card and continue to use it?,13
"Okay, I found my card, can I put it back in the app?",13
Where in the app do I go to make my new card show up?,13
Can I link my card I previously received?,13
I can't use my card.,14
How can I check my card's security settings?,14
For a week now I've been trying to use my card and it still doesn't work.,14
My card is broken,14
Something's wrong my card won't work.,14
What should I do if my physical card isn't working?,14
Is my card frozen?,14
"I tried using my card, but it doesn't work.",14
My card isn't working at all. What happened?,14
"Out of the blue, my card stopped working.",14
Why was I charged extra fees when using the card?,15
Was I charged extra fees for using my card?,15
Fees were applied when I used my card.,15
Is it normal to be charged extra fees when I use my card?,15
I had to pay fees when purchasing items with my card.,15
Why was the price higher when I paid with my card?,15
"I made a payment with my card and I was charged a fee, why did you do that? ",15
I wanted to know why I got extra fees when I use my card.,15
How was I charged extra fees when I used my card to pay?,15
I was charged fees when purchasing items with my card.,15
I think my card is being used by someone else to make purchases that I did not authorize! I checked my account and I see that there have been quite a few purchases over the past two days that I have no idea where they came from. We need to freeze my card now! And I need to find a way to get my money back.,16
I have an unusual payment in my statement,16
"on my statement, there is a payment that I don't recognize",16
There is a card payment that I don't recognize.,16
I'm not sure where this charge is coming from.,16
"A strange card payment, I don't recognize it. ",16
There's a payment I don't recognize,16
There's an unauthorized payment in my statement.,16
I did not do this payment,16
"I don't recognize this payment on my app, I am sure I didn't spend any money there.",16
The exchange rate on the item I purchased was incorrect.,17
The currency exchange for my foreign currency purchase is incorrect.,17
"I made an international purchase, but the exchange rate was incorrect",17
Why is the exchange rate on my payment incorrect?,17
Why am I being charged the wrong exchange rate when I bought something abroad?,17
My exchange rate was wrong.,17
I made a purchase and was charged the wrong exchange rate.,17
I think the exchange rate on my card payment is incorrect.,17
I think there was an error in your exchange rate.,17
I bought something abroad and the exchange rate applied is incorrect,17
The ATM didn't give me my card back?,18
The ATM took my card.,18
The ATM swallowed my card.,18
What should I do if the ATM swallows my card?,18
What are the steps to retrieve my swallowed card?,18
What should I do since my card is trapped in the ATM?,18
Why did the ATM take my card and keep it?,18
How can I get my card out of the ATM?,18
what do I need to do if the ATM kept my card?,18
"I can't get my card out of the ATM, what should I do now?",18
"I was charged for a cash withdrawal, why?",19
"I'm not supposed to be charged cash withdrawal fees, but I was.",19
Explain the extra ATM fees.,19
"This isn't fair, I was told I could withdraw money from the ATM for free?",19
Why was I charged a fee on a cash withdrawal?,19
Are there fees for getting money?,19
What are these extra fees I received?,19
Why did you charge me extra when I withdrew cash?,19
I got charged a fee that shouldn't be there from my cash,19
Why was I charged for getting cash?,19
I did not make a cash withdrawal that is on my statement.,20
"A WD was just made on my account, but it wasn't me and I still have my card. What to do?",20
Why is there money that I didn't deposit in my account?,20
There is random money in my account.,20
The app is showing a withdrawal that I did not make or authorize.,20
"Money was taken out without my consent,",20
I think someone stole money from my card,20
Help! I think someone has made a cash withdrawal with my card!,20
I was the victim of someone stealing my wallet.  My card is being used and it isn't me.  What should I do?,20
I see cash withdrawal activity in the app that is not mine.,20
How can I change the PIN?,21
Please tell me how to change my PIN?,21
Can I get a new PIN at any ATM using my card?,21
Can I change my PIN without being physically present?,21
How can I alteration my PIN?,21
Can I change my pin at an atm?,21
May I change my PIN?,21
Can I change my PIN without going to a bank branch?,21
I want to change my PIN.,21
Is it possible to change my PIN?,21
What should I do if someone used my card without my authorization?,22
"I did not make these transactions, I think my card information may have been stolen",22
I see transactions I don't recognize. I think someone stole my information.,22
"What steps can I take if someone else is using my card? """,22
I think someone else is using my card.,22
My card information seems to have been stolen! I don't know where these transactions came from and I've never even been to the city where they were made. I need my card blocked ASAP so this person can't keep using my card.,22
I think my account has been hacked there are charges on there I don't recognize.,22
card is being used by someone else,22
What should I do if I think that someone might be using me card?,22
What do I do if I believe to be a victim of credit card fraud?,22
I have a contactless payment that is broken.,23
How do I troubleshoot my contactless payment?,23
My contactless payment is not working.,23
"I was trying to use contactless earlier, but it didn't work.",23
My contactless payments don't work.,23
I can't get a contactless payment to work.,23
how many days processing new card?,23
Why wouldn't my contactless work for the metro?,23
What do I have to do to get the contactless to work?,23
Contactless payments need to be enabled for my card.,23
Can a person in the United States have a card?,24
