Text,Label
How do I activate my new card I just got?,0
What information do I need to collect to activate my card?,0
I just received my card and I'd like to activate it.,0
Tell me what I need to do to activate my card.,0
How do I activate my new card,0
What is the most efficient way to activate my new card?,0
Please help me with the activation of the new card.,0
I need assistance to activate the card on my account.,0
I can't activate my card?,0
How do I activate my card so I can start using it?,0
Is there an age limit to open an account,1
How old can I open an account?,1
I'd like to open an account for my kids.,1
I wish I had an account for my child.,1
What is the appropriate age for my child to be able to open an account?,1
DO I have to be 18 to open an account?,1
Do you offer account services for children and teens?,1
Can my children get an account?,1
Hold old do my kids have to be to use the service?,1
I want to open an account for my child.,1
Can I pay for my gas using my Apple watch?,2
google pay top up didn't work,2
How can I get the top to work for my card,2
I would like to know if I can complete with Google Pay.,2
Google Pay won't let me complete.,2
What should I do if my Google pay up doesn't work?,2
Is there a way to complete the use of my Apple Watch?,2
"I have my American Express in Apple Pay, why doesn't my device work?",2
Top up is not working even though I have my AMEX in apple pay.,2
Am I able to top up with Apple Pay?,2
Where can I withdraw money from?,3
What locations can I get money from?,3
Will this card work at any ATM?,3
Is this card accepted by ATMs?,3
Where can I find a Mastercard ATM?,3
Can I use a different bank ATM than my own?,3
what are the locations i can withdraw money,3
Do all ATMs accept this card?,3
Where can I get money from my card?,3
What ATMs accept my card?,3
What about a car supplement?,4
Where can I find the automatic charging option?,4
"If I don't have a lot of money in the account, can I charge my car?",4
What is the limit for automatic reloading?,4
I want to set up an automatic recharge.,4
Can I put it in place to add money every few days automatically while I'm traveling?,4
Does auto top-up have a limit?,4
How do I get refills to my card when I'm traveling?,4
I want to use auto top-up. Is there a limit?,4
Will the system automatically top up itself?,4
How long will it take for a bank transfer to appear on my account? I haven't seen anything for a few hours.,5
Is there a longer processing time for international bank transfers?,5
Good afternoon. I made a transfer from my UK bank account.  I haven't seen anything on the account in the pass few hours. Please check the account to make sure everything is fine.,5
I had transferred some money but the balance hasn't changed.,5
Why is it taking so long to update my balance transfer?,5
When will my transfer process?,5
I transferred money but the balance hasn't changed.,5
"I recently transferred some cash, but the balance has not changed.",5
I transferred some funds but I don't see it,5
The money that I have transferred hasn't arrived yet.,5
How long does it take for a cheque to appear in the account balance?,6
I dropped it off this morning.,6
"I deposited money, but the balance hasn't changed.",6
